0,零 líng
1,一 yī
2,二 èr
3,三 sān
4,四 sì
5,五 wǔ
6,六 liù
7,七 qī
8,八 bā
9,九 jiǔ
10,十 shí
100,百 bǎi or 一百 yìbǎi
18,十八 shíbā
30,三十 sānshí
56,五十六 wǔshíliù
¥8,八元 bā yuán
¥40,四十元 sìshí yuán
¥83,八十三 元 bāshísān yuán
One time,一次 yīcì
One book,一本书 yīběn shū
One two three four,一二三四  (yī èr sān sì)
What’s your name?,你叫什么？ Nǐ jiào shénme?
Hua Lee,李华。 Lǐ Huá.
What’s your family name?,你姓什么？ Nǐ xìng shénme?
"My name is Lev, and you?","我的名字是列夫, 你呢？Wǒ de míngzì shì liè fū. nǐ ne?"
I/me,我  wǒ
you,你  nǐ
you (polite),您  nín
he/him,他  tā
she/her,她  tā
it,它  tā
we/us,我们  wǒmen
you (plural),你们  nǐmen
they/them (a group of males or a mixed group),他们  tāmen
they/them (a group of females),她们  tāmen
they (plural it),它们  tāmen
What’s your name? (literal translation: What are you called?),你叫什么？Nǐ jiào shénme?
What’s your name? (literal translation: What name are you called?),你叫什么名字？Nǐ jiào shénme míngzì?
What’s his surname? (literal translation: What is he surnamed?”),他姓什么？Tā xìng shénme?
I am good. (I very good),我很好。Wǒ hěn hǎo.
You are happy. (You very happy),你很高兴。Nǐ hěn gāoxìng.
I am happy. (I very happy),我很高兴。 Wǒ hěn gāoxìng.
I am also happy. (I also very happy),我也很高兴。Wǒ yě hěn gāoxìng.
If you are happy then (also) I am happy.,"你高兴，我也高兴。Nǐ gāoxìng, wǒ[wó] yě gāoxìng."
If I am happy then (also) he is happy.,"我高兴，他也高兴。 Wǒ gāo xìng, tā yě gāoxìng"
I am very happy how about you?,"我很高兴，你呢？ Wǒ hěn gāoxìng, nǐ ne?"
I am also very happy to meet you.,我也很高兴认识你。 Wǒ yě hěn gāoxìng rènshí nǐ.
"You are very happy, I am also very happy.","你很高兴，我也很高兴。 Nǐ hěn gāoxìng, wǒ yě hěn gāoxìng."
"My last name is also Li, I'm pleased to meet you!","我的姓氏也叫李，很高兴认识您！ Wǒ de xìngshì yě jiào lǐ, hěn gāoxìng rènshí nín!"
"My surname is Li, so nice to meet you!","我也姓李，认识你很高兴！ Wǒ yě xìng lǐ, rènshí nǐ hěn gāoxìng."
"My surname is Lafayette, so nice to meet you!","我的姓是拉斐特，很高兴认识你！Wǒ de xìng shì lā fěi tè, hěn gāoxìng rènshí nǐ!"
I also know Zhang Ming.,我也认识张明 Wǒ yě rènshí zhāng míng
"I know you, your surname is Wang!","我认识你，你姓王！ Wǒ rènshí nǐ, nǐ xìng wáng!"
"I know Li Hua, how about you?","我认识李华，你呢？ Wǒ rènshí Lǐ Huá, nǐ ne?"
Hello there! I am also glad to meet you!,你好！我也很高兴认识你！ Nǐ hǎo! Wǒ yě hěn gāoxìng rènshí nǐ!
tea and water,茶和水  chá hé shuǐ
tea and coffee,茶和咖啡 chá hé kāfēi
This is iced tea.,这是冰茶。Zhè shì bīng chá.
This is water.,这是水。 Zhè shì shuǐ.
Your soup,你的汤 Nǐ de tāng
This is your water.,这是你的水。 Zhè shì nǐ de shuǐ.
My tea.,我的茶。Wǒ de chá.
Your water.,你的水。Nǐ de shuǐ. 
The doctor’s phone number.,医生的电话号码。Yīshēng de diànhuà hàomǎ.
Her student.,她的学生。 Tā de xuéshēng.
I eat noodles.,我吃面。Wǒ chī miàn.
I don’t eat noodles.,我不吃面。 Wǒ bù chī miàn.
"You drink tea, too.",你也喝茶。 Nǐ yě hēchá.
You also don’t drink tea,你也不喝茶。 Nǐ yě bù hēchá.
What do you eat?,你吃什么？Nǐ chī shénme?
You eat noodles,你吃面条 Nǐ chī miàntiáo
 I am also eating rice.,我也在吃米饭。Wǒ yě zài chī mǐfàn.
You eat fish,你吃鱼。Nǐ chī yú
You also eat fish.,你也吃鱼 Nǐ yě chī yú
"I eat noodles, what do you eat?","我吃面条，你吃什么？Wǒ chī miàntiáo, nǐ chī shénme?"
"I don't drink tea, I drink water.","我不喝茶，我喝水。 Wǒ bù hē chá, wǒ hē shuǐ."
"I don't eat noodles, how about you?","我不吃面，你呢？ Wǒ bù chī miàn, nǐ ne?"
"I drink water, what do you drink?","我喝水，你喝什么？Wǒ hē shuǐ, nǐ hē shénme?"
China and America,中国和美国 Zhōngguó hé měiguó
This is America.,这是美国。 Zhè shì měiguó.
"Hello, I am Chinese.","你好，我是中国人。 Nǐ hǎo, wǒ shì zhōngguó rén."
"Hello, I am Australian","你好，我是澳大利亚人 Nǐ hǎo, wǒ shì àodàlìyǎ rén."
We are Australians.,我们是澳大利亚人。 Wǒmen shì àodàlìyǎ rén.
"Hello, I am a New Zealander","你好，我是新西兰人 Nǐ hǎo, wǒ shì xīnxīlán rén "
"Hello, I am British.","你好，我是英国人。Nǐ hǎo, wǒ shì yīngguó rén."
" I am American, and you?","我是美国人，你呢？ Wǒ shì měiguó rén, nǐ ne?"
I am Italian.,我是意大利人。 Wǒ shì yìdàlì rén.
I am German,我是德国人. Wǒ shì déguó rén.
I am a doctor.,我是医生。 Wǒ shì yīshēng.
He is a student.,他是学生。 Tā shì xuéshēng.
You are happy.,你很高兴。 Nǐ hěn gāoxìng.
Am I a doctor?,我是医生吗？  Wǒ shì yīshēng ma?
Is he a student?,他是学生吗？ Tā shì xuéshēng ma?
I am a legal secretary.,我是法律秘书。 Wǒ shì fǎlǜ mìshū.
Are you happy?,你高兴吗？ Nǐ gāoxìng ma?
"I am a Chinese teacher, and you?","我是一名语文老师，你呢？ Wǒ shì yī míng yǔwén lǎoshī, nǐ ne?"
I'm a doctor.,我是医生。 Wǒ shì yīshēng.
"You are an English teacher, right? ","你是英文老师，对不对？ Nǐ shì yīngyǔ lǎoshī, duì bu dui?"
I am a computer engineer.,我是计算机工程师. Wǒ shì jìsuànjī gōngchéngshī 
"I speak Chinese, and you? ","我说中文，你呢？ Wǒ shuō zhōngwén, nǐ ne? "
I speak English.,我说英文。Wǒ shuō yīngwén.
I like Japanese food.,我喜欢日本菜。 Wǒ xǐhuān rìběn cài 
I like hamburgers,我喜欢汉堡包！Wǒ xǐhuān hànbǎobāo!
"You don't like music class, right?","你不喜欢音乐课，对吗？ Nǐ bù xǐhuān yīnyuè kè, duì ma?"
"That's right, I don't like music class.","是的，我不喜欢音乐课。 Shì de, wǒ bù xǐhuān yīnyuè kè."
"You like going online, right?","你喜欢上网，对吗？Nǐ xǐhuān shàngwǎng, duì ma? "
I like running.,我喜欢跑步 Wǒ xǐhuān pǎobù
I like you.,我喜欢你 Wǒ xǐhuān nǐ
We like rats and cats.,我们喜欢老鼠和猫 Wǒmen xǐhuān lǎoshǔ hé māo
That is Dr. Wang's dog.,那是王医生的狗。Nà shì wáng yīshēng de gǒu.
Whose cat is this?,这是谁的猫？ Zhè shì shéi de māo?
I like studying and travelling.,我喜欢学习和旅行。 Wǒ xǐhuān xuéxí hé lǚxíng.
Nice to meet you!,很高兴认识你！Hěn gāoxìng rènshí nǐ!
This is my mother.,这是我的妈妈。Zhè shì wǒ de māmā.
She is American.,她是美国人。Tā shì měiguó rén.
My daughter is a server.,我的女儿是服务员。Wǒ de nǚ'ér shì fúwùyuán.
Really? I am also a server.,真的吗？我也是服务员。Zhēn de ma? Wǒ yěshì fúwùyuán.
My older brother,我的哥哥 Wǒ dí gēgē
Your younger brother, 你的弟弟 Nǐ de dìdì
Our older sister.,我们的姐姐。 Wǒmen de jiějiě.
I have two mothers.,我有两个妈妈。Wǒ yǒu[yóu] liǎng gè māma
You know three students.,你认识三个学生。Nǐ rènshi sāngè xuéshēng.
Her younger sister.,她的妹妹。 Tā de mèimei.
Her (older) brother is happy.,她哥哥很高兴。Tā gēge hěn gāoxìng.
Mother's (younger) brother's name is Zhang Ming.,妈妈的弟弟叫张明。Māma de dìdi jiào Zhāng Míng
That is her family.,那是她的家人。Nà shì tā de jiārén.
Father loves mother,爸爸爱妈妈。 Bàba ài māmā.
I love my family,我爱我的家人 Wǒ ài wǒ de jiārén.
My family lives in Canada,我的家人住在加拿大 Wǒ de jiārén zhù zài jiānádà
My father is a doctor.,我的爸爸是医生。 Wǒ de bàba shì yīshēng.
Is his father Chinese?,他爸爸是中国人吗？ Tā bàba shì zhōngguó rén ma?
I love my mother.,我爱我的妈妈。Wǒ ài wǒ de māmā.
My family loves me.,我的家人爱我。 Wǒ de jiārén ài wǒ.
My mother is also a teacher.,我妈妈也是老师。Wǒ māmā yěshì lǎoshī.
That is their doctor.,那是她们的医生  Nà shì tāmen de yīshēng.
Who is this person?,这个人是谁？ Zhège rén shì shéi?
Is that our teacher? ,那是我们的老师吗？ Nà shì wǒmen de lǎoshī ma?
Who are they?,他们是谁？ Tāmen shì shéi?
Who is your dad?,你爸爸是谁 Nǐ bàba shì shéi
What is this?,这是什么？ Zhè shì shénme?
That man is our doctor.,那个人是我们的医生。 Nàgè rén shì wǒmen de yīshēng. 
That is my phone number.,那是我的电话号码。Nà shì wǒ de diànhuà hàomǎ. 
My older brother is a student,我的哥哥是学生 Wǒ dí gēgē shì yī míng xuéshēng.
Does she have an older sister?,她有姐姐吗？ Tā yǒu jiějiě ma?
Mother has three older brothers.,母亲有三个哥哥 Mǔqīn yǒusān gè gēgē.
My older sister is busy.,我姐姐很忙。Wǒ jiějiě hěn máng.
Do you have an older brother?,你有哥哥吗？ Nǐ yǒu gēgē ma?
She has four older sisters.,她有四个姐姐。Tā yǒu sì gè jiějiě.
I also do not have a younger sister,我也没有妹妹。 Wǒ yě méiyǒu mèimei.
I have a younger brother and also a younger sister.,"我有弟弟，也有妹妹。 Wǒ yǒu dìdì, yěyǒu mèimei. "
This is my father and mother.,这是我的父母。Zhè shì wǒ de fùmǔ. 
I love my younger brother and younger sister.,我爱我的弟弟和妹妹。 Wǒ ài wǒ de dìdì hé mèimei.
These are my parents.,这是我的父母。 Zhè shì wǒ de fùmǔ.
This is my mother.,这是我的母亲。Zhè shì wǒ de mǔqīn.
They are my siblings.,他们是我的兄弟姐妹。 Tāmen shì wǒ de xiōngdì jiěmèi.
"Excuse me, what's your name?","请问，你叫什么名字？ Qǐngwèn, nǐ jiào shénme míngzi?"
"Excuse me, are you Teacher Li?","对不起，你是李先生吗？ Duìbùqǐ, nǐ shì lǐ xiānshēng ma?"
You ask the teacher,你问老师 Nǐ wèn lǎoshī
You ask him,你问他 Nǐ wèn tā
She doesn't know either.,她也不知道。Tā yě bù zhīdào
I have no idea.,我不知道。 Wǒ bù zhīdào.
Please ask the question again.,请再问一次。 Qǐng zài wèn yí cì.
Say it again. ,再说一次。 Zài shuō yí cì
I want to eat three more.,我要再吃三个。 Wǒ yào zài chī sān gè.
Please ask one more time.,请再问一次。 Qǐng zài wèn yī cì.
She knows me.,她认识我。 Tā rènshi wǒ.
I know her.,我认识她。 Wǒ rènshi tā.
They know them. ,他们认识她们。Tāmen rènshi tāmen.
I don't know,我不知道 Wǒ bù zhīdào
Do you know?,你知道吗？ Nǐ zhīdào ma?
We ask the doctor.,我们问医生。Wǒmen wèn yīshēng.
I cannot speak Chinese.,我不会说中文。 Wǒ bù huì shuō zhōngwén.
The British speak English.,英国人说英语。Yīngguó rén shuō yīngyǔ.
The Chinese speak Chinese.,中国人说汉语。Zhōngguó rén shuō hànyǔ.
Can you speak English?,你会说英语吗？ Nǐ huì shuō yīngyǔ ma?
The teacher doesn't speak English,老师不说英语 Lǎoshī bù shuō yīngyǔ
Please help me.,请帮助我。Qǐng bāngzhù wǒ.
One more time.,再一次 Zài yīcì.
You ask again.,你再问一次。 Nǐ zài wèn yīcì.
Say it again.,再说一次。Zàishuō yīcì.
Is this your Chinese teacher?,这是你的中文老师吗？Zhè shì nǐ de zhōngwén lǎoshī ma?
I am the busiest. (the most busy),Wǒ zuì máng. I am the busiest.
My dad is the happiest. (the most happy),我的爸爸最高兴。 Wǒ de bàba zuì gāoxìng.
How are you?,最近怎么样？ Zuìjìn zěnme yàng?
"Good morning, Teacher Wang!","早上好，王老师！ Zǎoshang hǎo, wáng lǎoshī!"
"Doctor Li, good morning!","李医生，早安！Lǐ yīshēng, zǎo ān!"
"Teacher Wang, good morning!","王老师，早安！ Wáng lǎoshī, zǎo ān!"
"Teacher Zhang, good night!","张老师，晚安！Zhāng lǎoshī, wǎn'ān!"
See you later!,一会儿见！ Yīhuǐ'er jiàn!
I will see my doctor in a bit.,我待会儿会去看医生。Wǒ dài huì er huì qù kàn yīshēng.
I will see him in a bit.,我一会儿见他。Wǒ yīhuǐ'er jiàn tā.
"Father and mother, good night","爸爸妈妈，晚安！ Bàba māmā, wǎn'ān!"
"I am not bad, how about you?","我不错，你呢？ Wǒ bùcuò, nǐ ne?"
Long time no see! How are you?,好久不见！你怎么样？ Hǎojiǔ bùjiàn! Nǐ zěnme yàng?
I have been very busy recently,我最近很忙 Wǒ zuìjìn hěn máng.
My family is doing well recently.,我的家人最近不错。 Wǒ de jiārén zuìjìn bùcuò.
We have not been bad recently.,最近我们还不错。 Zuìjìn wǒmen hái bùcuò.
We are good lately.,我们最近不错。Wǒmen zuìjìn bùcuò.
I want your phone number.,我要你的电话号码。Wǒ yào nǐ de diànhuà hàomǎ.
I don't want his phone number.,我不要他的电话号码。Wǒ bǔ[bú] yào tā de diànhuà hàomǎ.
Students want to drink water.,学生们要喝水。Xuéshēng men yào hē shuǐ.
Teachers don’t want to drink tea.,老师们不要喝茶。Lǎoshī men bù[bú] yào hē chá.
He wants fish,他要鱼 Tā yào yú
She drinks ice tea.,她喝冰茶。 Tā hē bīng chá.
My younger sister also wants iced tea.,我的妹妹也要冰茶。 Wǒ de mèimei yě yào bīng chá.
He doesn't want ice water?,他不要冰水？ Tā bùyào bīng shuǐ?
Dad and mum want hot water.,爸爸和妈妈要热水。 Bàba hé māmā yào rè shuǐ.
The teacher wants hot tea.,老师要热茶。 Lǎoshī yào rè chá.
"I want hot water, how about you?","我要热水，你呢？ Wǒ yào rè shuǐ, nǐ ne?"
She drinks iced tea.,她喝冰茶。 Tā hē bīng chá.
You don't drink coffee?,你不喝咖啡吗？Nǐ bù hē kāfēi ma?
We drink coffee in the morning.,我们早上喝咖啡。Wǒmen zǎoshang hē kāfēi.
Do you want iced coffee?,你要冰咖啡吗？ Nǐ yào bīng kāfēi ma?
I want hot milk.,我要热牛奶。Wǒ yào rè niúnǎi.
"Excuse me, where is the bathroom?","请问，洗手间在哪儿？ Qǐngwèn, xǐshǒujiān zài nǎ'er?"
"Sorry, we do not have a bathroom.","对不起，我们没有洗手间。 Duìbùqǐ, wǒmen méiyǒu xǐshǒujiān."
Is the restaurant there?,饭馆在那儿吗？ Fànguǎn zài nà'er ma?
The restaurant is not there.,饭馆不在那儿。Fànguǎn bùzài nà'er.
Is the bathroom here?,洗手间在这儿吗？ Xǐshǒujiān zài zhè'er ma?
Do you have a bathroom?,你们有洗手间吗？ Nǐmen yǒu xǐshǒujiān ma?
Is the toilet here?,洗手间在这儿吗？ Xǐshǒujiān zài zhè'er ma?
Is the hospital here?,医院在这儿吗？ Yīyuàn zài zhè'er ma?
What is the phone number of the hospital?,医院的电话号码是多少？ Yīyuàn de diànhuà hàomǎ shì duōshǎo?
"No, it is over there.","不，它在那边。 Bù, tā zài nà biān"
Your sister is in the restaurant,你的姐姐在饭馆 Nǐ de jiějiě zài fànguǎn.
Doctor Li is at the hospital.,李医生在医院 Lǐ yīshēng zài yīyuàn.
Monday (weekday one),星期一 Xīngqīyī
Tuesday (weekday two),星期二 Xīngqī'èr
Wednesday (weekday three),星期三 Xīngqīsān
Thursday (weekday four),星期四 Xīngqīsì
Friday (weekday five),星期五 Xīngqīwǔ
Saturday (weekday six),星期六 Xīngqīliù
Sunday (weekday seven),星期天/星期日 Xīngqītiān / Xīngqīrì
January,一月 Yī yuè
February,二月 Èr yuè
March,三月  sān yuè
April,四月 sì yuè
May,五月 wǔ yuè 
June ,六月 liù yuè 
July,七月 qī yuè 
August,八月 bā yuè
September,九月 jiǔ yuè
October,十月 shí yuè
November,十一月 shíyī yuè
December,十二月 shí'èr yuè
